,CALsuburb,MITcoast,MITforest,MIThighway,MITinsidecity,MITmountain,MITopencountry,MITstreet,MITtallbuilding,PARoffice,bedroom,industrial,kitchen,livingroom,store,Percent Correct
CALsuburb,43,3,8,45,0,0,15,25,0,0,0,0,0,2,0,30.50%
MITcoast,0,150,2,63,0,0,31,13,0,0,1,0,0,0,0,57.69%
MITforest,0,0,209,8,0,1,7,2,0,1,0,0,0,0,0,91.67%
MIThighway,0,8,3,131,0,0,5,4,0,1,1,0,1,0,6,81.88%
MITinsidecity,5,3,3,34,85,0,3,13,20,4,2,0,27,2,7,40.87%
MITmountain,0,22,33,111,0,33,51,15,7,1,1,0,0,0,0,12.04%
MITopencountry,4,37,37,65,0,1,149,16,1,0,0,0,0,0,0,48.07%
MITstreet,1,1,5,45,3,0,3,126,2,0,1,0,1,0,4,65.63%
MITtallbuilding,0,6,7,42,4,3,9,20,157,1,2,1,1,0,3,61.33%
PARoffice,0,13,0,6,1,0,0,3,0,77,6,0,8,1,0,66.96%
bedroom,0,5,1,7,0,0,4,1,6,14,58,0,15,3,2,50.00%
industrial,1,35,12,36,13,1,11,35,21,11,5,1,13,3,13,0.47%
kitchen,0,1,0,5,1,0,0,1,0,13,15,0,69,2,3,62.73%
livingroom,0,9,1,8,0,0,2,5,6,18,45,0,54,31,10,16.40%
store,0,7,50,3,14,1,3,3,9,2,6,0,21,2,94,43.72%
