,CALsuburb,MITcoast,MITforest,MIThighway,MITinsidecity,MITmountain,MITopencountry,MITstreet,MITtallbuilding,PARoffice,bedroom,industrial,kitchen,livingroom,store,Percent Correct
CALsuburb,38,0,20,14,2,0,13,39,5,0,0,2,0,2,6,0.2695
MITcoast,11,0,19,57,0,12,15,50,90,1,0,1,0,1,3,0
MITforest,5,0,173,1,1,1,4,15,16,0,0,1,1,1,9,0.75877
MIThighway,6,1,4,100,2,1,3,35,4,0,0,1,0,0,3,0.625
MITinsidecity,12,0,65,5,4,6,10,70,21,0,0,3,1,2,9,0.019231
MITmountain,31,0,39,20,6,15,33,44,50,3,0,11,2,4,16,0.054745
MITopencountry,27,0,38,34,0,16,54,27,101,1,0,5,0,0,7,0.17419
MITstreet,12,0,5,19,2,1,3,139,5,1,0,0,1,2,2,0.72396
MITtallbuilding,18,0,32,7,4,8,21,17,132,1,3,4,2,3,4,0.51563
PARoffice,6,1,11,21,1,1,4,30,22,1,0,2,7,2,6,0.0086957
bedroom,12,0,6,16,3,5,7,16,33,0,0,2,7,2,7,0
industrial,15,0,38,25,4,8,12,14,81,0,0,7,1,2,4,0.033175
kitchen,7,0,13,8,4,2,8,33,16,0,1,5,5,1,7,0.045455
livingroom,25,0,21,27,7,6,9,48,28,1,0,3,8,1,5,0.005291
store,19,0,95,2,6,2,1,53,12,0,0,4,1,3,17,0.07907
